Time,Glucose,Fumaric,Ethanol
0,0,0,0
10,0.875,0.0785,0.311
23.5833,0.624,0.549,0.691
31.75,0.0603,1.26218,0.825
40.8333,0.0433,2.1489,0.844
56.8333,0.0341,4.0304,0.315
67.5,0.0343,5.11598,0.0602
79.7833,0.0405,6.31857,0
91.5,0.0748,7.88654,0.0703
103.5833,0.108,9.21015,0.0502
114.8333,0.168,10.51522,0.0247
129.5,0.207,12.40317,0
139.5,0.289,13.86901,0.0467
152.4167,0.325,15.47635,0
163.5834,0.35,16.8497,0
175.6667,0.292,18.24128,0
185.5334,0.244,18.58194,0
191.0834,0.262,19.53815,0
200.1667,0,20.29985,0
